"","ID","step","angle","TimeNum","locType","time","mu.x","nu.x","mu.y","nu.y","se.mu.x","se.nu.x","se.mu.y","se.nu.y","speed","x","y","Bottom.Temp","Exposure","Location","Year","TSR","HoD"
"7535","53273",1.61863809072219,-1.21706231722568,418060.516666667,"p",2017-09-10 04:31:00,1143554.51981479,-3.7361102608839,5065739.34997626,-2.48715158411222,1.14707889876852,11.6395871919927,1.14707889876852,11.6395871919927,4.48825610720176,1143554.51981479,5065739.34997626,-0.84,"Post","Carson","2017",120.35,14
"7737","53273",2.65716019674706,-0.540078080589273,418061.016666667,"p",2017-09-10 05:01:00,1143552.927,-3.50040619788672,5065739.062,1.59438943610796,0,13.8406672527014,0,13.8406672527014,3.84641667323971,1143552.927,5065739.062,-0.84,"Post","Carson","2017",120.35,14
"7935","53273",1.71725301938985,-0.174833709863779,418061.516666667,"p",2017-09-10 05:31:00,1143550.44130965,-5.24308225400822,5065740.00106537,1.93584121084104,2.68766813427551,14.2179305807843,2.68766813427551,14.2179305807843,5.58904220022415,1143550.44130965,5065740.00106537,-0.84,"Post","Carson","2017",120.35,14
"8149","53273",1.74375704801721,-1.94810177726594,418062.016666667,"p",2017-09-10 06:01:00,1143548.96492814,3.56537218678199,5065740.87813754,1.3481474222715,0.381352854978169,8.0220402641722,0.381352854978169,8.0220402641722,3.81174242341424,1143548.96492814,5065740.87813754,-0.84,"Post","Carson","2017",121.35,15
"8334","53273",1.69332479838423,0.111111172823681,418062.516666667,"p",2017-09-10 06:31:00,1143550.34521087,2.4421465663461,5065741.94373982,2.35082054275106,3.30944406207447,15.0271371192253,3.30944406207447,15.0271371192253,3.38975472206123,1143550.34521087,5065741.94373982,-0.84,"Post","Carson","2017",121.35,15
"84341","53273",1.52830214697561,-0.0277058273278157,418063.016666667,"p",2017-09-10 07:01:00,1143551.5625687,2.42987612795537,5065743.12076521,2.34945744047939,3.49895984543978,15.0207090378584,3.49895984543978,15.0207090378584,3.37997755345081,1143551.5625687,5065743.12076521,-0.84,"Post","Carson","2017",121.35,15
"8534","53273",1.07300107678201,0.918876889824091,418063.516666667,"p",2017-09-10 07:31:00,1143552.69029614,1.45364229140052,5065744.15223906,0.745580185143645,0.351496799416438,13.1846683689807,0.351496799416438,13.1846683689807,1.6336969498126,1143552.69029614,5065744.15223906,-0.84,"Post","Carson","2017",121.35,15
"9030","53273",1.16619523536734,-3.08879548941785,418064.016666667,"p",2017-09-10 08:01:00,1143552.595,-0.27167062489106,5065745.221,-0.639042295998822,0,7.68178039259129,0,7.68178039259129,0.694391809070459,1143552.595,5065745.221,-0.84,"Post","Carson","2017",121.35,15
"9531","53273",2.16030192268663,0.0128540122773617,418064.516666667,"p",2017-09-10 08:31:00,1143552.75972864,2.13889598815524,5065744.0664976,-4.40482386409801,0.623345810926808,11.8536428999696,0.623345810926808,11.8536428999696,4.89666716470233,1143552.75972864,5065744.0664976,-0.84,"Post","Carson","2017",121.35,15
"9930","53273",0.675487146857886,-1.60310658782226,418065.016666667,"p",2017-09-10 09:01:00,1143553.09234206,-0.54715266219197,5065741.93195486,-3.67491980172953,0.538785671672883,8.73879110632586,0.538785671672883,8.73879110632586,3.71542885611978,1143553.09234206,5065741.93195486,-0.84,"Post","Carson","2017",122.85,17
"10142","53273",0.536098908703784,-1.98551089962155,418065.516666667,"p",2017-09-10 09:31:00,1143552.42189794,-0.266115233312749,5065741.84956814,0.207100232493033,0.3839400994947,13.0681827351778,0.3839400994947,13.0681827351778,0.337205906976386,1143552.42189794,5065741.84956814,-0.84,"Post","Carson","2017",123.35,17
"10631","53273",0.883165839112399,0.826770311425256,418066.016666667,"p",2017-09-10 10:01:00,1143552.57645156,0.104455058397266,5065742.36290548,0.476822964759067,0.161058995402306,11.165654929291,0.161058995402306,11.165654929291,0.488130104527884,1143552.57645156,5065742.36290548,-0.84,"Post","Carson","2017",123.35,17
"108301","53273",0.401843507279139,-0.542320542849014,418066.516666667,"p",2017-09-10 10:31:00,1143552.12668914,-0.486484005847169,5065743.12296841,1.67905415467395,1.19313871783628,11.2729162154254,1.19313871783628,11.2729162154254,1.74811027749194,1143552.12668914,5065743.12296841,-0.861558441558442,"Post","Carson","2017",124.35,18
"11141","53273",0.500714899551905,0.494480529274661,418067.016666667,"p",2017-09-10 11:01:00,1143552.12990144,-0.435884475683666,5065743.52479908,0.896018039694516,1.88810486996883,13.8879184905442,1.88810486996883,13.8879184905442,0.996415377039128,1143552.12990144,5065743.52479908,-0.861558441558442,"Post","Carson","2017",124.35,18
"11230","53273",0.1623620026728,-1.10800464085231,418067.516666667,"p",2017-09-10 11:31:00,1143551.89580574,-0.260920957894033,5065743.96742151,0.554397464504312,0.383484028350595,13.486085050896,0.383484028350595,13.486085050896,0.612728565448968,1143551.89580574,5065743.96742151,-0.861558441558442,"Post","Carson","2017",124.35,18
"11728","53273",0.446601676561307,1.52848881186006,418068.016666667,"p",2017-09-10 12:01:00,1143551.99034427,-0.783422206099237,5065744.09942107,0.326240095101401,0.26886799735186,8.41148738333477,0.26886799735186,8.41148738333477,0.848635936465789,1143551.99034427,5065744.09942107,-0.861558441558442,"Post","Carson","2017",124.35,18
"12230","53273",0.807783969188273,-0.599931877952473,418068.516666667,"p",2017-09-10 12:31:00,1143551.63858253,-0.796621260467123,5065744.37458781,0.90338621344888,0.181796589626978,6.23836116299786,0.181796589626978,6.23836116299786,1.20445509807453,1143551.63858253,5065744.37458781,-0.861558441558442,"Post","Carson","2017",124.35,18
"12731","53273",2.80751134139542,-0.11500496586459,418069.016666667,"p",2017-09-10 13:01:00,1143551.3944401,-0.719669560229215,5065745.14459392,3.53301527282196,0.60310861376704,9.31493746624206,0.60310861376704,9.31493746624206,3.60556808199675,1143551.3944401,5065745.14459392,-0.861558441558442,"Post","Carson","2017",124.35,18
"13141","53273",3.28891390283182,0.374917444817457,418069.516666667,"p",2017-09-10 13:31:00,1143550.8586104,-1.50885637088657,5065747.90049785,9.44265024781465,0.728779802135048,11.3892629261072,0.728779802135048,11.3892629261072,9.56244169919583,1143550.8586104,5065747.90049785,-0.861558441558442,"Post","Carson","2017",124.35,18
"13531","53273",0.706465954859287,2.79699677330974,418070.016666667,"p",2017-09-10 14:01:00,1143549.09225696,-5.56507346389954,5065750.67483564,5.53154358794744,0.42512351146461,10.0524056822235,0.42512351146461,10.0524056822235,7.84652898573383,1143549.09225696,5065750.67483564,-0.78,"Post","Carson","2017",127.85,22
